epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,283.13,0.88519,0.93065,1.14014,0.57229,0.56338,0.62911,0.37544,1.3607,2.03368,1.65302,0.000544776,0.000544776,0.000544776
70,286.961,0.96683,1.0373,1.18089,0.58502,0.63333,0.68653,0.3913,1.34527,1.84187,1.69524,0.000528272,0.000528272,0.000528272
71,290.91,0.7924,0.85166,1.07175,0.58502,0.63333,0.68653,0.3913,1.34527,1.84187,1.69524,0.000511769,0.000511769,0.000511769
72,294.75,0.82661,0.9008,1.11228,0.80548,0.63333,0.73658,0.44434,1.28617,1.77594,1.67397,0.000495266,0.000495266,0.000495266
73,298.473,0.79144,0.94004,1.08351,0.80548,0.63333,0.73658,0.44434,1.28617,1.77594,1.67397,0.000478762,0.000478762,0.000478762
74,302.582,0.87688,1.01844,1.15066,0.83298,0.67703,0.7568,0.46916,1.27553,1.7107,1.65719,0.000462259,0.000462259,0.000462259
75,306.432,0.94762,1.02215,1.16679,0.83298,0.67703,0.7568,0.46916,1.27553,1.7107,1.65719,0.000445756,0.000445756,0.000445756
76,310.194,0.85432,0.99937,1.13676,0.70962,0.68889,0.73351,0.41193,1.28972,1.71458,1.6835,0.000429253,0.000429253,0.000429253
77,314.159,0.87704,1.05181,1.26097,0.70962,0.68889,0.73351,0.41193,1.28972,1.71458,1.6835,0.000412749,0.000412749,0.000412749
78,318.165,0.8678,1.00605,1.11071,0.68844,0.5819,0.6791,0.36608,1.3031,1.73396,1.68589,0.000396246,0.000396246,0.000396246
79,322.154,0.78109,0.90748,1.0648,0.68844,0.5819,0.6791,0.36608,1.3031,1.73396,1.68589,0.000379743,0.000379743,0.000379743
80,325.985,0.76742,0.87657,1.12299,0.75196,0.62453,0.71128,0.4443,1.23276,1.66701,1.63903,0.000363239,0.000363239,0.000363239
81,329.974,0.83621,0.90198,1.14526,0.75196,0.62453,0.71128,0.4443,1.23276,1.66701,1.63903,0.000346736,0.000346736,0.000346736
82,334.247,0.77011,0.84788,1.09888,0.74641,0.68889,0.73073,0.48034,1.15553,1.63955,1.61638,0.000330233,0.000330233,0.000330233
83,338.394,0.7969,0.88886,1.12006,0.74641,0.68889,0.73073,0.48034,1.15553,1.63955,1.61638,0.000313729,0.000313729,0.000313729
84,342.593,0.82831,0.94583,1.09355,0.63464,0.68889,0.71006,0.4655,1.15011,1.62932,1.63854,0.000297226,0.000297226,0.000297226
85,346.834,0.74818,0.74957,1.01597,0.63464,0.68889,0.71006,0.4655,1.15011,1.62932,1.63854,0.000280723,0.000280723,0.000280723
86,350.944,0.70798,0.83288,1.03492,0.56351,0.78889,0.68823,0.43443,1.14131,1.66776,1.64326,0.00026422,0.00026422,0.00026422
87,355.291,0.68639,0.76619,1.03561,0.56351,0.78889,0.68823,0.43443,1.14131,1.66776,1.64326,0.000247716,0.000247716,0.000247716
88,359.68,0.74537,0.9353,1.09188,0.67071,0.70241,0.69321,0.42723,1.1522,1.76302,1.63461,0.000231213,0.000231213,0.000231213
89,365.123,0.77712,0.79205,1.02424,0.67071,0.70241,0.69321,0.42723,1.1522,1.76302,1.63461,0.00021471,0.00021471,0.00021471
90,369.023,0.67624,0.77744,1.00203,0.49016,0.89975,0.65452,0.39368,1.12125,1.84894,1.59238,0.000198206,0.000198206,0.000198206
91,374.054,0.59057,0.88959,0.96388,0.49016,0.89975,0.65452,0.39368,1.12125,1.84894,1.59238,0.000181703,0.000181703,0.000181703
92,378.475,0.75063,0.93069,1.10715,0.52945,0.7515,0.63632,0.394,1.11869,1.90042,1.61723,0.0001652,0.0001652,0.0001652
93,383.354,0.72349,1.46826,1.20388,0.52945,0.7515,0.63632,0.394,1.11869,1.90042,1.61723,0.000148696,0.000148696,0.000148696
94,387.947,0.61453,0.88446,0.93001,0.47293,0.67778,0.5803,0.34878,1.12975,1.93385,1.63321,0.000132193,0.000132193,0.000132193
95,391.88,0.71411,0.94097,1.05289,0.47293,0.67778,0.5803,0.34878,1.12975,1.93385,1.63321,0.00011569,0.00011569,0.00011569
96,396.942,0.55481,0.84873,0.97301,0.50928,0.77042,0.55688,0.34953,1.16377,1.9503,1.66792,9.91865e-05,9.91865e-05,9.91865e-05
97,401.286,0.56093,0.78278,0.95576,0.50928,0.77042,0.55688,0.34953,1.16377,1.9503,1.66792,8.26832e-05,8.26832e-05,8.26832e-05
98,405.684,0.60034,0.81814,0.99086,0.54314,0.73334,0.62966,0.39871,1.19003,1.94992,1.67765,6.61799e-05,6.61799e-05,6.61799e-05
99,409.385,0.62753,0.8324,0.99928,0.54314,0.73334,0.62966,0.39871,1.19003,1.94992,1.67765,4.96766e-05,4.96766e-05,4.96766e-05
100,413.199,0.56368,0.86887,0.98155,0.51123,0.74817,0.57762,0.36082,1.18833,1.97013,1.67599,3.31733e-05,3.31733e-05,3.31733e-05
